router,seeds,mean_RT_s,ci90,p99_RT_s,mean_TTFT_s,global_queue_s,restarted_frac,incomplete,paper_RT_s,speedup_vs_LLQ
rr,10,41.16005112727946,"[34.0, 49.4]",286.9433777534537,15.75441809576634,0.0,0.08114232890281384,0,63.4,0.7917222784838683
lor,10,33.552872466159414,"[28.9, 39.1]",275.9905244597418,7.2135877299994515,0.0,0.09245901722500975,0,59.6,0.9712232386025659
llq,10,32.587329461002206,"[28.4, 37.8]",269.94994737959934,7.068239609540046,0.0,0.07497745848433772,0,54.6,1.0
ablation_hra_fifo,10,31.38832693813755,"[27.4, 36.4]",261.26910506381626,6.4786023450902945,6.034506277588056,0.013209072770559726,0,,1.038198994334032
funsearch_fig13,10,26.617340663034884,"[25.3, 27.9]",272.7585864927213,1.8850016110706016,1.6911944567079242,0.008181090779017183,0,32.5,1.2242894537641849
glia_hra,10,26.066767129823383,"[25.1, 27.1]",264.85875814917534,1.1235462677238401,0.8247980985229232,0.0172080868954863,0,24.1,1.2501484859516219
