router,seeds,mean_RT_s,ci90,p99_RT_s,mean_TTFT_s,global_queue_s,restarted_frac,incomplete,paper_RT_s,speedup_vs_LLQ
ablation_hra_fifo,10,357.0705860682113,"[328.3, 386.1]",767.4669573457043,326.7180735667206,325.79960635230645,0.0009578190878183675,0,,0.9956219385237984
rr,10,357.0072737016027,"[327.8, 386.5]",830.130905939967,324.74585235977054,0.0,0.07446035130172388,0,63.4,0.9957985040613065
lor,10,355.9425086393268,"[326.6, 385.8]",819.0770572880999,323.58691181999285,0.0,0.07272972311330089,0,59.6,0.9987773319069726
llq,10,355.50730909106136,"[326.2, 385.3]",814.57372232333,323.17704447031196,0.0,0.07338384721707696,0,54.6,1.0
funsearch_fig13,10,182.38135066271127,"[163.6, 201.3]",1333.6954102001655,151.93758037385217,151.48508019381197,0.015013637357070462,0,32.5,1.9492525293801681
glia_hra,10,174.52076596880391,"[156.4, 192.9]",1316.610736277811,144.0715870632589,143.62054642518825,0.005248484844941544,0,24.1,2.0370487553017576
