router,seeds,mean_RT_s,ci90,p99_RT_s,mean_TTFT_s,global_queue_s,restarted_frac,incomplete,paper_RT_s,speedup_vs_LLQ
rr,10,230.1648302470775,"[201.8, 256.9]",603.7117865582102,206.62904981520583,0.0,0.301353162897703,0,63.4,0.9591162221267941
ablation_hra_fifo,10,225.24317860833293,"[196.0, 252.5]",500.97883359914806,204.08162237495776,203.44601396517822,0.08144496739365498,0,,0.980073287088948
lor,10,224.90520817939114,"[195.6, 252.6]",574.5620385934936,201.0614744765127,0.0,0.3202721039788735,0,59.6,0.9815460666297741
llq,10,220.75482245303186,"[192.0, 248.2]",558.6450864191479,197.11120769736465,0.0,0.3090775419657728,0,54.6,1.0
funsearch_fig13,10,109.72894557309246,"[92.0, 128.0]",1009.2711267484954,88.96173638744196,88.78327136923625,0.061133341588035586,0,32.5,2.0118194091820834
glia_hra,10,95.2116281020781,"[81.3, 108.8]",972.3897143349247,69.61935237084118,69.07365447778213,0.3229111394930114,0,24.1,2.31856997777999
